,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,wd
243,244,2013,3,11,3,78.0,102.0,29.5,58.0,1200.0,103.0,-1.4,1014.1,-10.8,0.0,0.9,N
244,245,2013,3,11,4,76.0,98.0,29.5,59.0,1300.0,103.0,-2.0,1014.0,-10.8,0.0,1.0,NW
245,246,2013,3,11,5,91.0,141.0,29.5,83.0,2150.0,103.0,-1.8,1013.5,-10.9,0.0,0.6,ESE
246,247,2013,3,11,6,98.0,164.0,29.5,78.0,2100.0,103.0,-1.7,1014.0,-10.3,0.0,0.6,SE
247,248,2013,3,11,7,83.0,109.0,29.5,73.0,1399.0,103.0,-0.2,1014.3,-9.6,0.0,1.4,N
273,274,2013,3,12,9,122.0,106.0,17.0,75.0,1700.0,42.0,3.1,1003.3,1.6,0.0,0.9,SW
274,275,2013,3,12,10,129.0,102.0,16.0,74.0,1700.0,42.0,3.6,1003.6,2.0,0.0,0.0,SW
275,276,2013,3,12,11,119.0,137.0,16.0,83.0,2150.0,42.0,3.8,1003.7,1.8,0.0,1.5,SE
276,277,2013,3,12,12,150.0,138.0,20.0,81.0,1899.0,42.0,4.4,1003.9,2.3,0.0,1.3,W
277,278,2013,3,12,13,136.0,107.0,29.5,78.0,1600.0,34.0,5.0,1003.9,2.2,0.0,1.5,NNW
279,280,2013,3,12,15,156.0,167.0,29.5,85.0,2000.0,34.0,6.3,1004.2,3.3,0.0,2.1,SW
280,281,2013,3,12,16,163.5,188.0,29.5,88.0,2150.0,32.0,6.7,1005.0,3.1,0.0,1.1,W
282,283,2013,3,12,18,163.5,174.0,29.5,95.0,2150.0,10.0,5.5,1007.9,3.2,0.0,1.1,NE
284,285,2013,3,12,20,163.5,192.0,29.5,98.0,2150.0,8.0,4.6,1011.4,-0.4,0.0,1.1,NNE
286,287,2013,3,12,22,47.0,47.0,29.5,31.0,700.0,45.0,5.0,1014.1,-10.0,0.0,2.3,NE
288,289,2013,3,13,0,3.0,6.0,29.5,12.0,300.0,74.0,3.0,1016.0,-11.0,0.0,1.0,NNE
289,290,2013,3,13,1,13.0,6.0,12.0,6.0,400.0,79.0,2.6,1016.4,-11.7,0.0,3.0,NNW
290,291,2013,3,13,2,8.0,8.0,7.0,7.0,400.0,79.0,2.5,1016.4,-11.8,0.0,3.6,NNW
291,292,2013,3,13,3,6.0,6.0,5.0,7.0,300.0,80.0,1.6,1016.8,-10.0,0.0,2.0,NW
292,293,2013,3,13,4,7.0,11.0,13.0,34.0,400.0,80.0,2.0,1017.5,-10.9,0.0,2.1,NW
293,294,2013,3,13,5,3.0,8.0,19.0,38.0,400.0,80.0,0.0,1018.3,-10.8,0.0,1.5,NNW
294,295,2013,3,13,6,3.0,10.0,17.0,30.0,500.0,80.0,0.6,1019.3,-11.5,0.0,1.2,NE
295,296,2013,3,13,7,3.0,8.0,18.0,37.0,600.0,80.0,3.3,1020.7,-14.9,0.0,1.6,NNE
296,297,2013,3,13,8,3.0,6.0,10.0,22.0,400.0,80.0,4.5,1021.8,-18.5,0.0,3.6,N
297,298,2013,3,13,9,8.0,6.0,9.0,13.0,300.0,80.0,5.5,1022.0,-18.4,0.0,1.7,NW
298,299,2013,3,13,10,3.0,6.0,16.0,12.0,300.0,81.0,6.3,1022.0,-15.1,0.0,3.1,NW
299,300,2013,3,13,11,3.0,6.0,6.0,10.0,300.0,85.0,7.4,1021.3,-15.4,0.0,2.1,WNW
300,301,2013,3,13,12,3.0,6.0,7.0,10.0,300.0,85.0,8.2,1020.2,-16.2,0.0,1.2,WSW
302,303,2013,3,13,14,14.0,6.0,8.0,11.0,300.0,88.0,9.6,1018.5,-16.7,0.0,3.7,NNW
303,304,2013,3,13,15,3.0,9.0,6.0,11.0,300.0,90.0,10.0,1018.2,-14.0,0.0,2.9,SSW
304,305,2013,3,13,16,3.0,6.0,8.0,11.0,300.0,92.0,8.2,1018.4,-13.5,0.0,3.4,SE
305,306,2013,3,13,17,17.0,22.0,8.0,19.0,300.0,92.0,7.1,1018.9,-13.2,0.0,2.0,SE
306,307,2013,3,13,18,17.0,24.0,11.0,25.0,400.0,92.0,6.1,1019.6,-13.5,0.0,2.3,ESE
307,308,2013,3,13,19,26.0,39.0,9.0,35.0,500.0,92.0,5.3,1020.3,-13.2,0.0,1.7,ESE
308,309,2013,3,13,20,42.0,48.0,16.0,45.0,700.0,92.0,4.4,1020.8,-12.6,0.0,0.7,ESE
309,310,2013,3,13,21,38.0,49.0,15.0,52.0,700.0,92.0,3.5,1021.0,-11.3,0.0,0.8,ESE
310,311,2013,3,13,22,39.0,58.0,19.0,67.0,800.0,92.0,1.5,1020.8,-10.0,0.0,0.8,ESE
311,312,2013,3,13,23,50.0,64.0,25.0,75.0,1000.0,92.0,1.4,1020.9,-9.3,0.0,0.8,ESE
312,313,2013,3,14,0,54.0,64.0,24.0,73.0,1100.0,92.0,2.5,1021.1,-8.8,0.0,3.0,ESE
313,314,2013,3,14,1,61.0,77.0,29.5,83.0,1100.0,92.0,1.4,1021.4,-4.7,0.0,2.9,ESE
314,315,2013,3,14,2,76.0,112.0,29.5,77.0,1500.0,92.0,0.6,1021.2,-4.8,0.0,2.8,ESE
316,317,2013,3,14,4,73.0,75.0,21.0,69.0,1500.0,92.0,-0.4,1021.0,-5.6,0.0,1.7,ESE
317,318,2013,3,14,5,58.0,66.0,25.0,54.0,1399.0,92.0,-0.8,1021.3,-5.6,0.0,1.3,ESE
318,319,2013,3,14,6,56.0,66.0,28.0,52.0,1300.0,92.0,-1.6,1021.4,-5.3,0.0,1.4,WNW
319,320,2013,3,14,7,56.0,71.0,27.0,56.0,1399.0,92.0,-0.5,1021.7,-5.1,0.0,0.9,WSW
320,321,2013,3,14,8,80.0,88.0,29.5,60.0,1600.0,92.0,1.1,1021.8,-5.0,0.0,0.6,NW
338,339,2013,3,15,2,162.0,168.0,29.5,84.0,2150.0,50.0,0.1,1013.6,-3.8,0.0,0.4,NE
339,340,2013,3,15,3,136.0,137.0,29.5,75.0,1899.0,50.0,-0.3,1013.3,-3.8,0.0,1.1,N
340,341,2013,3,15,4,130.0,131.0,29.5,68.0,1500.0,50.0,-0.3,1013.1,-4.0,0.0,1.0,NNE
341,342,2013,3,15,5,128.0,133.0,29.5,71.0,1600.0,50.0,-0.2,1013.1,-3.7,0.0,0.8,NNE
342,343,2013,3,15,6,128.0,132.0,29.5,71.0,1600.0,50.0,-0.3,1012.9,-3.7,0.0,0.1,NNE
343,344,2013,3,15,7,130.0,136.0,29.5,67.0,1500.0,50.0,1.6,1013.4,-2.7,0.0,0.9,N
410,411,2013,3,18,2,25.0,99.0,19.0,5.0,300.0,84.0,10.3,994.5,-9.4,0.0,3.6,N
413,414,2013,3,18,5,16.0,111.0,5.0,11.0,300.0,84.0,7.0,997.2,-8.6,0.0,2.7,N
414,415,2013,3,18,6,3.0,21.0,11.0,12.0,300.0,84.0,5.7,999.0,-12.4,0.0,3.6,NNE
415,416,2013,3,18,7,8.0,21.0,3.0,9.0,300.0,85.0,6.2,1000.1,-14.6,0.0,3.1,NE
417,418,2013,3,18,9,3.0,6.0,3.0,8.0,200.0,87.0,8.4,1000.8,-18.5,0.0,2.8,NNW
418,419,2013,3,18,10,3.0,6.0,3.0,8.0,200.0,92.0,9.4,1001.2,-17.7,0.0,1.7,ENE
419,420,2013,3,18,11,6.0,6.0,3.0,10.0,200.0,92.0,10.2,1000.9,-16.2,0.0,2.7,SW
421,422,2013,3,18,13,3.0,6.0,4.0,10.0,300.0,94.0,11.8,998.5,-16.8,0.0,3.75,WNW
422,423,2013,3,18,14,14.0,6.0,5.0,13.0,300.0,94.0,12.6,997.2,-16.1,0.0,2.0,SSW
423,424,2013,3,18,15,14.0,6.0,6.0,11.0,300.0,95.0,12.2,996.3,-15.5,0.0,1.4,W
424,425,2013,3,18,16,14.0,6.0,6.0,11.0,200.0,97.0,11.4,996.1,-15.2,0.0,3.75,SW
429,430,2013,3,18,21,44.0,99.0,14.0,33.0,600.0,57.0,4.6,1000.5,-4.4,0.0,2.5,SSE
430,431,2013,3,18,22,45.0,73.0,12.0,33.0,700.0,51.0,3.4,1001.1,-4.6,0.0,3.6,ESE
431,432,2013,3,18,23,45.0,73.0,12.0,33.0,800.0,43.0,2.5,1002.4,-4.3,0.0,2.7,ESE
434,435,2013,3,19,2,28.0,53.0,4.0,30.0,600.0,43.0,-0.3,1002.5,-1.9,0.0,2.5,SE
435,436,2013,3,19,3,11.0,13.0,3.0,26.0,600.0,36.0,-0.5,1003.0,-2.2,0.0,2.1,SE
436,437,2013,3,19,4,30.0,6.0,3.0,25.0,500.0,35.0,-0.2,1002.7,-2.6,0.0,1.0,ESE
437,438,2013,3,19,5,36.0,4.0,3.0,25.0,500.0,40.0,-0.2,1002.7,-2.4,0.0,0.7,WSW
438,439,2013,3,19,6,30.0,6.0,3.0,21.0,500.0,39.0,0.2,1003.4,-2.5,0.0,0.7,WNW
439,440,2013,3,19,7,30.0,6.0,3.0,21.0,400.0,40.0,0.7,1004.2,-2.2,0.0,1.3,N
440,441,2013,3,19,8,12.0,38.0,8.0,52.0,700.0,14.0,1.7,1004.6,-2.8,0.0,1.5,NE
441,442,2013,3,19,9,24.0,39.0,12.0,38.0,700.0,26.0,2.1,1005.1,-2.1,0.0,0.4,SE
442,443,2013,3,19,10,34.0,51.0,11.0,24.0,600.0,36.0,2.4,1005.0,-1.2,0.0,0.1,E
446,447,2013,3,19,14,77.0,52.0,3.0,44.0,900.0,12.0,3.4,1004.7,1.4,0.0,0.8,N
461,462,2013,3,20,5,5.0,6.0,3.0,5.0,300.0,66.0,-4.1,1016.3,-4.9,0.0,0.2,N
462,463,2013,3,20,6,10.0,6.0,3.0,18.0,500.0,54.0,-4.8,1016.8,-5.8,0.0,0.0,N
463,464,2013,3,20,7,3.0,6.0,3.0,20.0,600.0,51.0,-3.8,1016.8,-6.1,0.0,1.1,NE
464,465,2013,3,20,8,8.0,34.0,3.0,20.0,600.0,53.0,-0.6,1017.5,-5.0,0.0,0.6,NNE
465,466,2013,3,20,9,15.0,19.0,6.0,19.0,700.0,55.0,2.5,1017.7,-7.7,0.0,0.8,S
466,467,2013,3,20,10,45.0,6.0,19.0,51.0,1000.0,40.0,4.4,1016.9,-5.4,0.0,1.4,SSW
467,468,2013,3,20,11,24.0,42.0,16.0,42.0,700.0,50.0,3.0,1016.0,-7.0,0.0,2.7,SE
468,469,2013,3,20,12,34.0,10.0,15.0,31.0,600.0,64.0,6.1,1015.1,-9.4,0.0,1.7,NW
469,470,2013,3,20,13,22.0,6.0,16.0,25.0,500.0,75.0,6.5,1013.8,-8.6,0.0,2.7,SSW
470,471,2013,3,20,14,27.0,6.0,14.0,21.0,500.0,82.0,5.7,1013.0,-7.2,0.0,2.3,S
471,472,2013,3,20,15,34.0,36.0,11.0,22.0,500.0,88.0,5.7,1012.1,-5.9,0.0,2.9,SSW
472,473,2013,3,20,16,20.0,21.0,10.0,20.0,500.0,95.0,5.1,1011.6,-5.6,0.0,1.5,SSE
473,474,2013,3,20,17,47.0,49.0,10.0,21.0,600.0,88.0,4.3,1011.2,-4.7,0.0,2.4,SSW
474,475,2013,3,20,18,39.0,57.0,11.0,30.0,700.0,74.0,3.6,1010.9,-3.5,0.0,1.2,ESE
475,476,2013,3,20,19,61.0,66.0,7.0,42.0,800.0,55.0,3.2,1010.8,-2.8,0.0,1.1,ESE
476,477,2013,3,20,20,81.0,82.0,7.0,49.0,900.0,37.0,2.1,1010.5,-2.4,0.0,0.7,E
477,478,2013,3,20,21,69.0,85.0,5.0,53.0,1000.0,27.0,1.1,1010.2,-2.5,0.0,1.0,ENE
478,479,2013,3,20,22,74.0,91.0,4.0,60.0,1200.0,15.0,0.5,1009.6,-2.7,0.0,0.6,ENE
479,480,2013,3,20,23,82.0,97.0,4.0,68.0,1300.0,7.0,0.4,1008.7,-2.8,0.0,0.6,ESE
480,481,2013,3,21,0,89.0,99.0,5.0,67.0,1200.0,8.0,0.8,1008.1,-3.0,0.0,1.0,ESE
481,482,2013,3,21,1,90.0,105.0,6.0,58.0,1100.0,14.0,1.0,1007.6,-3.1,0.0,1.2,E
482,483,2013,3,21,2,94.0,105.0,7.0,61.0,1200.0,15.0,1.0,1006.7,-3.1,0.0,0.7,ESE
483,484,2013,3,21,3,93.0,108.0,8.0,61.0,1200.0,12.0,1.2,1005.7,-3.3,0.0,1.3,ESE
484,485,2013,3,21,4,95.0,104.0,10.0,51.0,1100.0,18.0,0.9,1005.4,-3.6,0.0,0.9,ESE
485,486,2013,3,21,5,107.0,104.0,9.0,51.0,1000.0,16.0,0.5,1004.8,-3.6,0.0,0.5,ENE
486,487,2013,3,21,6,84.0,84.0,7.0,52.0,900.0,12.0,0.4,1004.3,-3.9,0.0,0.7,SE
487,488,2013,3,21,7,80.0,88.0,10.0,54.0,1000.0,10.0,0.5,1004.0,-4.3,0.0,0.9,ESE
488,489,2013,3,21,8,87.0,104.0,17.0,52.0,1300.0,13.0,1.5,1003.0,-3.4,0.0,1.1,NW
489,490,2013,3,21,9,92.0,109.0,29.0,49.0,1300.0,20.0,2.1,1002.3,-3.4,0.0,0.5,WNW
490,491,2013,3,21,10,125.0,128.0,27.0,55.0,1399.0,20.0,2.7,1001.3,-2.8,0.0,1.1,NW
491,492,2013,3,21,11,140.0,153.0,26.0,64.0,1600.0,20.0,4.4,1000.2,-2.5,0.0,1.1,SW
